Tray_omni_x,Tray_omni_y,Tray_gen_x,Tray_gen_y
681,1510,681,1510
759,1365,770,1370
1126,853,1220,920
1227,593,1220,620
1372,425,1370,470
1704,406,1670,470
1871,581,1820,620
1997,524,1970,470
315,1576,2372,565
